1.59 0.000136914 11.8658
1.6 0.000134206 11.6311
1.61 0.000131112 11.363
1.62 0.000127664 11.0641
1.63 0.00012389 10.7371
1.64 0.000119817 10.3841
1.65 0.000115471 10.0074
1.66 0.000110887 9.61013
1.67 0.000106095 9.19487
1.68 0.000101116 8.76336
1.69 9.59658e-05 8.31697
1.7 9.06627e-05 7.85737
1.71 8.52252e-05 7.38613
1.72 7.96655e-05 6.90429
1.73 7.39911e-05 6.41251
1.74 6.82066e-05 5.9112
1.75 6.23129e-05 5.40041
1.76 5.63092e-05 4.88009
1.77 5.01938e-05 4.3501
1.78 4.39618e-05 3.80999
1.79 3.76056e-05 3.25912
1.8 3.11213e-05 2.69716
1.81 2.45133e-05 2.12447
1.82 1.77902e-05 1.54181
1.83 1.09586e-05 0.949741
1.84 4.02753e-06 0.34905
1.85 -2.98563e-06 -0.258753
1.86 -1.00586e-05 -0.871737
1.87 -1.71722e-05 -1.48824
1.88 -2.43095e-05 -2.1068
1.89 -3.14487e-05 -2.72553
1.9 -3.85591e-05 -3.34177
1.91 -4.56059e-05 -3.95248
1.92 -5.25546e-05 -4.5547
1.93 -5.93664e-05 -5.14505
1.94 -6.59929e-05 -5.71934
1.95 -7.23853e-05 -6.27335
1.96 -7.8505e-05 -6.80371
1.97 -8.43222e-05 -7.30787
1.98 -8.98134e-05 -7.78377
1.99 -9.49672e-05 -8.23043
2 -9.97883e-05 -8.64826
2.01 -0.000104291 -9.03851
2.02 -0.000108495 -9.40287
2.03 -0.000112427 -9.74357
2.04 -0.000116113 -10.063
2.05 -0.000119584 -10.3638
2.06 -0.000122874 -10.649
2.07 -0.000126021 -10.9218
2.08 -0.000129066 -11.1857
2.09 -0.000132051 -11.4444
2.1 -0.000135022 -11.7018
2.11 -0.000138022 -11.9618
2.12 -0.00014108 -12.2269
2.13 -0.00014421 -12.4981
2.14 -0.000147402 -12.7747
2.15 -0.000150628 -13.0544
2.16 -0.000153836 -13.3324
2.17 -0.000156952 -13.6024
2.18 -0.000159888 -13.8569
2.19 -0.000162557 -14.0881
2.2 -0.000164875 -14.2891
2.21 -0.000166772 -14.4535
2.22 -0.00016819 -14.5764
2.23 -0.000169089 -14.6543
2.24 -0.000169447 -14.6853
2.25 -0.000169262 -14.6693
2.26 -0.000168549 -14.6075
2.27 -0.000167329 -14.5017
2.28 -0.000165631 -14.3546
2.29 -0.000163499 -14.1698
2.3 -0.000160988 -13.9521
2.31 -0.000158152 -13.7064
2.32 -0.000155044 -13.437
2.33 -0.000151712 -13.1483
2.34 -0.000148211 -12.8448
2.35 -0.000144589 -12.531
