1.2 -5.79703 0 0 5.79703 0 0
1.21 -6.1154 0 0 6.1154 0 0
1.22 -6.42133 0 0 6.42133 0 0
1.23 -6.71466 0 0 6.71466 0 0
1.24 -6.99567 0 0 6.99567 0 0
1.25 -7.2649 0 0 7.2649 0 0
1.26 -7.52358 0 0 7.52358 0 0
1.27 -7.77382 0 0 7.77382 0 0
1.28 -8.01788 0 0 8.01788 0 0
1.29 -8.25746 0 0 8.25746 0 0
1.3 -8.4939 0 0 8.4939 0 0
1.31 -8.72887 0 0 8.72887 0 0
1.32 -8.96409 0 0 8.96409 0 0
1.33 -9.20025 0 0 9.20025 0 0
1.34 -9.43732 0 0 9.43732 0 0
1.35 -9.67547 0 0 9.67547 0 0
1.36 -9.91489 0 0 9.91489 0 0
1.37 -10.155 0 0 10.155 0 0
1.38 -10.3947 0 0 10.3947 0 0
1.39 -10.6324 0 0 10.6324 0 0
1.4 -10.8662 0 0 10.8662 0 0
1.41 -11.094 0 0 11.094 0 0
1.42 -11.3132 0 0 11.3132 0 0
1.43 -11.521 0 0 11.521 0 0
1.44 -11.7148 0 0 11.7148 0 0
1.45 -11.8923 0 0 11.8923 0 0
1.46 -12.0516 0 0 12.0516 0 0
1.47 -12.1911 0 0 12.1911 0 0
1.48 -12.3095 0 0 12.3095 0 0
1.49 -12.406 0 0 12.406 0 0
1.5 -12.4797 0 0 12.4797 0 0
1.51 -12.5292 0 0 12.5292 0 0
1.52 -12.5531 0 0 12.5531 0 0
1.53 -12.55 0 0 12.55 0 0
1.54 -12.5184 0 0 12.5184 0 0
1.55 -12.4559 0 0 12.4559 0 0
1.56 -12.3602 0 0 12.3602 0 0
1.57 -12.2302 0 0 12.2302 0 0
1.58 -12.0655 0 0 12.0655 0 0
1.59 -11.8658 0 0 11.8658 0 0
1.6 -11.6311 0 0 11.6311 0 0
1.61 -11.363 0 0 11.363 0 0
1.62 -11.0641 0 0 11.0641 0 0
1.63 -10.7371 0 0 10.7371 0 0
1.64 -10.3841 0 0 10.3841 0 0
1.65 -10.0074 0 0 10.0074 0 0
1.66 -9.61013 0 0 9.61013 0 0
1.67 -9.19487 0 0 9.19487 0 0
1.68 -8.76336 0 0 8.76336 0 0
1.69 -8.31697 0 0 8.31697 0 0
1.7 -7.85737 0 0 7.85737 0 0
1.71 -7.38613 0 0 7.38613 0 0
1.72 -6.90429 0 0 6.90429 0 0
