 1.38038 1400.13 315.618 67.2607 1382.74 284.536 66.4062 1410.84 297.113 67.7289
 1.44544 1299.37 297.243 68.4083 1259.13 267.345 66.2784 1291.36 285.301 67.9725
 1.51356 1211.4 294.637 69.8996 1230.89 289.551 71.1148 1183.88 289.9 68.3107
 1.58489 1094.27 285.092 69.2167 1327.53 341.949 84.0193 1056.96 295.022 66.9171
 1.65959 942.951 262.009 65.4165 1218.35 349.034 84.6125 939.085 289.291 65.2079
 1.7378 942.915 264.838 71.7241 1024.92 290.373 77.9605 901.658 280.025 68.5741
 1.8197 876.371 257.481 73.1167 834.913 286.255 69.601 878.107 267.141 73.1728
 1.90546 802.819 266.048 73.4166 826.861 289.579 75.5673 799.597 251.141 73.0754
 1.99526 739.848 271.791 74.1201 815.343 277.647 81.6525 757.027 245.651 75.7907
 2.0893 668.644 272.025 73.4826 758.313 252.288 83.2474 703.234 236.947 77.1604
 2.18776 638.385 256.836 76.8518 654.157 260.648 78.7223 636.424 228.659 76.5159
 2.29087 641.72 267.214 84.8954 595.893 247.869 78.598 592.643 228.707 78.2725
 2.39883 605.176 244.784 87.5982 567.391 237.937 82.2158 560.359 235.313 81.049
 2.51189 499.475 202.454 79.1357 534.466 233.072 84.8509 522.301 233.699 82.7837
 2.63027 452.198 216.455 78.8613 475.356 215.548 82.711 479.16 223.993 83.2702
 2.75423 425.339 210.888 81.249 432.244 200.267 82.4297 432.484 221.752 82.4031
 2.88403 405.025 195.445 84.7282 409.583 193.168 85.636 383.438 223.895 80.0916
 3.01995 378.537 172.721 86.8008 383.245 212.198 87.9783 362.824 223.019 82.7974
 3.16228 343.375 159.585 86.3449 336.331 222.555 84.684 348.491 219.104 87.1251
 3.31131 309.699 163.51 85.4004 306.817 211.717 84.2456 331.891 212.271 90.8626
 3.46737 287.797 171.082 87.0387 299.008 203.056 90.5244 313.326 202.827 93.9458
 3.63078 272.297 187.795 90.2908 301.319 203.978 100.051 293.164 191.042 96.2504
 3.80189 247.533 204.958 90.0915 293.463 190.24 106.695 271.872 177.462 97.7493
 3.98107 242.874 206.837 97.0698 275.273 200.093 109.45 249.923 178.947 98.3829
 4.16869 232.798 203.8 101.74 247.787 209.98 107.691 227.761 181.485 98.1569
 4.36516 200.881 195.362 96.1119 213.672 212.817 101.513 205.793 183.093 97.0852
 4.57088 185.406 195.613 97.6114 176.287 209.496 91.7164 184.377 183.842 95.1923
 4.7863 191.658 182.108 110.129 161.005 201.259 92.4424 163.823 183.747 92.5419
 5.01187 185.353 157.532 116.322 164.908 189.517 103.942 144.397 186.015 89.2106
 5.24807 168.163 163.837 115.377 154.671 177.647 106.951 126.232 187.46 85.2686
 5.49541 143.404 162.332 108.054 138.899 180.911 105.436 119.28 187.981 89.9415
 5.7544 122.371 164.063 101.868 118.94 182.157 98.8339 109.35 187.804 91.0031
